Package Name	Version	Top-level Module	Apt_version
certbot-dns-linode	0.35.1	certbot_dns_linode	0.35.1-1
certbot-dns-ovh	0.31.0	certbot_dns_ovh	0.31.0-1
certbot-dns-rfc2136	0.35.1	certbot_dns_rfc2136	0.35.1-1
certbot-dns-route53	0.35.1	certbot_dns_route53	0.35.1-1
certbot-dns-sakuracloud	0.31.0	certbot_dns_sakuracloud	0.31.0-1
certbot-nginx	0.40.0	certbot_nginx	0.40.0-0ubuntu0.1
certbot	0.40.0	certbot	0.40.0-1ubuntu0.1
certifi	2019.11.28	certifi	2019.11.28-1
cffi-backend-dbg	#	#	1.14.0-1build1
cffi-backend	#	#	1.14.0-1build1
cffi	1.14.0	cffi	1.14.0-1build1
cfgrib	0.9.7.7	#	0.9.7.7-1
cftime	1.1.0	cftime	1.1.0+ds-1build1
cg3	$	cg3	1.3.1-2build3
cgecore	1.5.2	cgecore	1.5.2-1
chameleon	3.6.2	chameleon	3.6.2-2
changelog	0.4.2	changelog	0.4.2-2
channels-redis	2.4.2	channels_redis	2.4.2-1
characteristic	14.3.0	characteristic	14.3.0-6
chardet	3.0.4	chardet	3.0.4-4build1
chargebee2	#	#	2.7.2-1
chargebee	1.6.6	chargebee	1.6.6-1
charon	1.0	#	4.4.1-2
chartkick	0.5.0	chartkick	0.5.0-2
cheetah	#	#	3.2.4-1ubuntu1
chemps2	1.8.9	#	1.8.9-1build3
cheroot	8.3.0	cheroot	8.3.0+ds-1
cherrypy3	#	#	8.9.1-6
chm-dbg	#	#	0.8.6-2build1
chm	0.8.6	chm	0.8.6-2build1
cinder	16.4.2	cinder	2:16.4.2-0ubuntu2
cinderclient	7.0.0	cinderclient	1:7.0.0-0ubuntu1
circuits	3.1.0	circuits	3.1.0+ds1-2
citeproc	$	citeproc	0.3.0-6
ck	1.9.4	ck	1.9.4-1.1
clang-10	#	#	1:10.0.0-4ubuntu1
clang-10	#	#	1:10.0.0-4ubuntu1
clang-11	#	#	1:11.0.0-2~ubuntu20.04.1
clang-11	#	#	1:11.0.0-2~ubuntu20.04.1
clang-12	#	#	1:12.0.0-3ubuntu1~20.04.5
clang-12	#	#	1:12.0.0-3ubuntu1~20.04.5
clang-8	#	#	1:8.0.1-9
clang-9	#	#	1:9.0.1-12
clang-9	#	#	1:9.0.1-12
clang	$	clang	1:10.0-50~exp1
clang	$	clang	1:10.0-50~exp1
clap	0.14.0	clap	0.14.0-1
cliapp	1.20180812.1	cliapp	1.20180812.1-3build1
click-log	0.2.1	click_log	0.2.1-2
click-plugins	1.1.1	click_plugins	1.1.1-2
click-threading	0.4.4	click_threading	0.4.4-2
click	7.0	click	7.0-3
cliff	3.1.0	cliff	3.1.0-0ubuntu1
cligj	0.5.0	cligj	0.5.0-2
clint	0.5.1	clint	0.5.1-3
cloud-sptheme	1.9.4	cloud_sptheme	1.9.4-2
cloudflare	2.1.0	#	2.1.0-1
cloudkitty-dashboard	9.0.0	#	9.0.0-1
cloudkitty	11.0.1	cloudkitty	11.0.1-2
cloudkittyclient	3.1.0	cloudkittyclient	3.1.0-2
cloudpickle	1.3.0	cloudpickle	1.3.0-1
cluster	1.3.3	cluster	1.3.3-3
clustershell	1.8.3	#	1.8.3-1
cmarkgfm	0.4.2	cmarkgfm	0.4.2-1build2
cmd2	0.8.5	cmd2	0.8.5-2.1
cmor	3.5.0	#	3.5.0-3
coards	1.0.5	coards	1.0.5-4
cobra	0.14.2	#	0.14.2-2build1
coda	$	coda	2.21-3build1
codegen	1.0	codegen	1.0-4
codicefiscale	0.9	codicefiscale	0.9+ds0-2
collada	0.4.1	collada	0.6-1
colorama	0.4.3	colorama	0.4.3-1build1
colorclass	2.2.0	colorclass	2.2.0-2
colored	1.3.93	colored	1.3.93-2
coloredlogs	7.3	coloredlogs	7.3-2
colorlog	4.1.0	colorlog	4.1.0-1
colormap	1.0.2	colormap	1.0.2-2
colormath	3.0.0	colormath	3.0.0-1
colorspacious	1.1.2	colorspacious	1.1.2-2
colour	0.1.5	colour	0.1.5-2
columbus	$	columbus	1.1.0+15.10.20150806-0ubuntu21
comedilib	#	#	0.11.0-1.1build2
commandnotfound	#	#	20.04.6
commando	1.0.0	commando	1.0.0-1
commonmark-bkrs	0.5.4	#	0.5.4+ds-4
compizconfig	$	compizconfig	1:0.9.14.1+20.04.20220820-0ubuntu1
compreffor	0.5.0	compreffor	0.5.0.post1-1build1
compyle	0.6.dev0	compyle	0.6~dev0~20190922.gitaa5a50d-2
confget	2.3.0	confget	2.3.0-1
configargparse	0.13.0	configargparse	0.13.0-2
configobj	5.0.6	configobj	5.0.6-4
configshell-fb	1.1.27	configshell_fb	1:1.1.27-0ubuntu1
confluent-kafka	1.1.0	confluent_kafka	1.1.0-1build1
congress	10.0.0	congress	10.0.0+dfsg1-2
congressclient	1.11.0	congressclient	1.11.0-0ubuntu2
consonance	0.1.3	consonance	0.1.3-2
constantly	15.1.0	constantly	15.1.0-1build1
construct.legacy	2.5.3	#	2.5.3-2.1
construct	2.8.16	construct	2.8.16-0.4
consul	0.7.1	consul	0.7.1-1
contextlib2	0.6.0	contextlib2	0.6.0-2
convertdate	2.1.3	convertdate	2.1.3-2
cookies	2.2.1	cookies	2.2.1-3
coreapi	2.3.3	coreapi	2.3.3-4
corepywrap	#	#	1.005-8build2
coreschema	0.0.4	coreschema	0.0.4-3
cotyledon	1.7.3	cotyledon	1.7.3-2
cov-core	1.15.0	cov_core	1.15.0-3build1
coverage-test-runner	1.11	#	1.13.1-3
coverage	4.5.2	coverage	4.5.2+dfsg.1-4ubuntu1
cpl	0.7.4	cpl	0.7.4-2build2
cpuinfo	$	cpuinfo	5.0.0-2
cpuset	1.6	cpuset	1.6-3.1ubuntu1
cracklib	2.8.19	cracklib	2.9.6-3.2
cracklib	2.8.19	cracklib	2.9.6-3.2
cram	0.7	cram	0.7-4
crank	0.7.2	crank	0.7.2-5
crayons	0.3.0	crayons	0.3.0-1
crcelk	1.3	crcelk	1.3-2
crcmod	1.7	crcmod	1.7+dfsg-2build2
crochet	1.4.0	crochet	1.4.0-0ubuntu4
croniter	0.3.29	croniter	0.3.29-2ubuntu1
crontab	1.9.3	crontab	1.9.3-3.1
crypto-dbg	#	#	2.6.1-13ubuntu2
crypto-dbg	#	#	2.6.1-13ubuntu2
crypto	#	#	2.6.1-13ubuntu2
crypto	#	#	2.6.1-13ubuntu2
cryptography-vectors	2.8	cryptography_vectors	2.8-1
cryptography	2.8	cryptography	2.8-3ubuntu0.1
cs	2.3.1	cs	2.3.1-2
csa	0.1.10	csa	0.1.10-1
csb	1.2.5.{revision}	csb	1.2.5+dfsg-5
cson	0.8	cson	0.8-1
csound	#	#	1:6.13.0~dfsg-3build2
css-parser	1.0.4	css_parser	1.0.4-2
csscompressor	0.9.4	csscompressor	0.9.4-3
cssmin	0.2.0	cssmin	0.2.0-9
cssselect2	0.2.2	cssselect2	0.2.2-1
cssselect	1.1.0	cssselect	1.1.0-2
cssutils	1.0.2 $Id$	cssutils	1.0.2-3
csvkit	1.0.2	#	1.0.2-2
ctdopts	1.1	#	1.2-3
cu2qu	1.6.7	cu2qu	1.6.7-1
cups	$	cups	1.9.73-3build1
cupshelpers	1.0	cupshelpers	1.5.12-0ubuntu1.1
cursive	0.2.2	cursive	0.2.2-2
curtin	20.1	curtin	20.1-2-g42a9667f-0ubuntu1~20.04.1
curtsies	0.3.1	curtsies	0.3.1-1
custodia	0.6.0	custodia	0.6.0-5
cutadapt	2.8	cutadapt	2.8-2build1
cv-bridge	$	cv_bridge	1.13.0+ds-5build6
cvxopt	1.2.3	cvxopt	1.2.3+dfsg-2build1
cxx-dev	#	#	7.1.3-0.1
cyarray	1.1	cyarray	1.1-2build1
cycler	0.10.0	cycler	0.10.0-3
cylc	$	cylc	8.0~a1-2
cymem	2.0.2	cymem	2.0.2-1build2
cymruwhois	1.6	cymruwhois	1.6-3.2
cypari2	2.1.1	#	2.1.1-2build1
cysignals-bare	#	#	1.10.2+ds-4
cysignals-pari	#	#	1.10.2+ds-4
cytoolz	0.10.1	cytoolz	0.10.1-1fakesync1build1
cyvcf2	0.11.6	cyvcf2	0.11.6-1
d2to1	0.2.12	d2to1	0.2.12-2
daemon	$	daemon	2.2.4-1build1
daemonize	2.4.7	daemonize	2.4.7-4
daiquiri	1.6.0	daiquiri	1.6.0-1
daphne	2.4.1	daphne	2.4.1-1
darts.lib.utils.lru	$	darts	0.5-5
dask-sphinx-theme	1.1.0	dask_sphinx_theme	1.1.0-1
dask	2.8.1+dfsg	dask	2.8.1+dfsg-0.4
datalad	0.12.4	datalad	0.12.4-2
dateparser	0.7.2	#	0.7.2-2
dateutil	2.7.3	dateutil	2.7.3-3ubuntu1
datrie	0.8	datrie	0.8-1build2
dballe	8.6	dballe	8.6-1ubuntu1
dbf	0.96.5	dbf	0.96.005-1.2build1
dbfread	2.0.7	dbfread	2.0.7-3
dbg	#	#	3.8.2-0ubuntu2
dbg	#	#	3.8.2-0ubuntu2
dbus-dbg	#	#	1.2.16-1build1
dbus-dbg	#	#	1.2.16-1build1
dbus-tests	#	#	1.2.16-1build1
dbus-tests	#	#	1.2.16-1build1
dbus.mainloop.pyqt5-dbg	#	#	5.14.1+dfsg-3build1
dbus.mainloop.pyqt5-dbg	#	#	5.14.1+dfsg-3build1
dbus.mainloop.pyqt5	$	dbus	5.14.1+dfsg-3build1
dbus.mainloop.pyqt5	$	dbus	5.14.1+dfsg-3build1
dbus	1.2.16	dbus	1.2.16-1build1
dbus	1.2.16	dbus	1.2.16-1build1
dbusmock	0.18.1	dbusmock	0.19-1
dbussy	1.2.1	dbussy	1.2.1-1
dcos	SNAPSHOT	dcos	0.2.0-4
ddt	1.2.1	ddt	1.2.1-3
deap	1.3	deap	1.3.1-1build1
debconf	$	debconf	1.5.73
